sepal_length,sepal_width,petal_length,petal_width,species,sepal_ratio,petal_area
6.5,3.2,5.1,2.0,virginica,2.031,10.2
6.4,2.7,5.3,1.9,virginica,2.37,10.07
6.8,3.0,5.5,2.1,virginica,2.267,11.55
5.7,2.5,5.0,2.0,virginica,2.28,10.0
5.8,2.8,5.1,2.4,virginica,2.071,12.24
6.4,3.2,5.3,2.3,virginica,2.0,12.19
6.5,3.0,5.5,1.8,virginica,2.167,9.9
7.7,3.8,6.7,2.2,virginica,2.026,14.74
7.7,2.6,6.9,2.3,virginica,2.962,15.87
6.0,2.2,5.0,1.5,virginica,2.727,7.5
6.9,3.2,5.7,2.3,virginica,2.156,13.11
5.6,2.8,4.9,2.0,virginica,2.0,9.8
7.7,2.8,6.7,2.0,virginica,2.75,13.4
6.3,2.7,4.9,1.8,virginica,2.333,8.82
6.7,3.3,5.7,2.1,virginica,2.03,11.97
7.2,3.2,6.0,1.8,virginica,2.25,10.8
6.2,2.8,4.8,1.8,virginica,2.214,8.64
6.1,3.0,4.9,1.8,virginica,2.033,8.82
6.4,2.8,5.6,2.1,virginica,2.286,11.76
7.2,3.0,5.8,1.6,virginica,2.4,9.28
7.4,2.8,6.1,1.9,virginica,2.643,11.59
7.9,3.8,6.4,2.0,virginica,2.079,12.8
6.4,2.8,5.6,2.2,virginica,2.286,12.32
6.3,2.8,5.1,1.5,virginica,2.25,7.65
6.1,2.6,5.6,1.4,virginica,2.346,7.84
7.7,3.0,6.1,2.3,virginica,2.567,14.03
6.3,3.4,5.6,2.4,virginica,1.853,13.44
6.4,3.1,5.5,1.8,virginica,2.065,9.9
6.0,3.0,4.8,1.8,virginica,2.0,8.64
6.9,3.1,5.4,2.1,virginica,2.226,11.34
6.7,3.1,5.6,2.4,virginica,2.161,13.44
6.9,3.1,5.1,2.3,virginica,2.226,11.73
6.8,3.2,5.9,2.3,virginica,2.125,13.57
6.7,3.3,5.7,2.5,virginica,2.03,14.25
6.7,3.0,5.2,2.3,virginica,2.233,11.96
6.3,2.5,5.0,1.9,virginica,2.52,9.5
6.5,3.0,5.2,2.0,virginica,2.167,10.4
6.2,3.4,5.4,2.3,virginica,1.824,12.42
5.9,3.0,5.1,1.8,virginica,1.967,9.18
